loan_id,vintage_month,months_on_book,snapshot_month,delinquency_state
1496047,2012-09,35,2015-07,current
1496047,2012-09,36,2015-08,current
144003196,2018-12,1,2018-12,current
144003196,2018-12,2,2019-01,current
144003196,2018-12,3,2019-02,current
144003196,2018-12,4,2019-03,current
144003196,2018-12,5,2019-04,current
144003196,2018-12,6,2019-05,current
144003196,2018-12,7,2019-06,current
144003196,2018-12,8,2019-07,current
144003196,2018-12,9,2019-08,current
144003196,2018-12,10,2019-09,current
144003196,2018-12,11,2019-10,current
144003196,2018-12,12,2019-11,current
144003196,2018-12,13,2019-12,current
144003196,2018-12,14,2020-01,current
144003196,2018-12,15,2020-02,paid_off
74642716,2016-03,1,2016-03,current
74642716,2016-03,2,2016-04,current
74642716,2016-03,3,2016-05,current
74642716,2016-03,4,2016-06,current
74642716,2016-03,5,2016-07,current
74642716,2016-03,6,2016-08,current
74642716,2016-03,7,2016-09,current
74642716,2016-03,8,2016-10,current
74642716,2016-03,9,2016-11,current
74642716,2016-03,10,2016-12,current
74642716,2016-03,11,2017-01,current
74642716,2016-03,12,2017-02,current
74642716,2016-03,13,2017-03,current
74642716,2016-03,14,2017-04,paid_off
134970363,2018-06,1,2018-06,current
134970363,2018-06,2,2018-07,current
134970363,2018-06,3,2018-08,current
134970363,2018-06,4,2018-09,current
134970363,2018-06,5,2018-10,current
134970363,2018-06,6,2018-11,current
134970363,2018-06,7,2018-12,current
134970363,2018-06,8,2019-01,current
134970363,2018-06,9,2019-02,current
134970363,2018-06,10,2019-03,current
134970363,2018-06,11,2019-04,current
134970363,2018-06,12,2019-05,current
134970363,2018-06,13,2019-06,current
134970363,2018-06,14,2019-07,current
134970363,2018-06,15,2019-08,current
134970363,2018-06,16,2019-09,current
134970363,2018-06,17,2019-10,current
134970363,2018-06,18,2019-11,current
134970363,2018-06,19,2019-12,current
134970363,2018-06,20,2020-01,current
134970363,2018-06,21,2020-02,current
134970363,2018-06,22,2020-03,current
134970363,2018-06,23,2020-04,current
134970363,2018-06,24,2020-05,current
134970363,2018-06,25,2020-06,current
134970363,2018-06,26,2020-07,current
134970363,2018-06,27,2020-08,current
134970363,2018-06,28,2020-09,current
134970363,2018-06,29,2020-10,current
134970363,2018-06,30,2020-11,current
134970363,2018-06,31,2020-12,current
134970363,2018-06,32,2021-01,current
134970363,2018-06,33,2021-02,current
134970363,2018-06,34,2021-03,current
134970363,2018-06,35,2021-04,current
134970363,2018-06,36,2021-05,current
128554781,2018-02,1,2018-02,current
128554781,2018-02,2,2018-03,current
128554781,2018-02,3,2018-04,current
128554781,2018-02,4,2018-05,current
128554781,2018-02,5,2018-06,current
128554781,2018-02,6,2018-07,current
128554781,2018-02,7,2018-08,current
128554781,2018-02,8,2018-09,current
128554781,2018-02,9,2018-10,current
128554781,2018-02,10,2018-11,current
128554781,2018-02,11,2018-12,current
128554781,2018-02,12,2019-01,current
128554781,2018-02,13,2019-02,current
128554781,2018-02,14,2019-03,current
128554781,2018-02,15,2019-04,current
128554781,2018-02,16,2019-05,current
128554781,2018-02,17,2019-06,current
128554781,2018-02,18,2019-07,current
128554781,2018-02,19,2019-08,paid_off
1145764,2012-02,1,2012-02,current
1145764,2012-02,2,2012-03,current
1145764,2012-02,3,2012-04,current
1145764,2012-02,4,2012-05,current
1145764,2012-02,5,2012-06,current
1145764,2012-02,6,2012-07,current
1145764,2012-02,7,2012-08,current
1145764,2012-02,8,2012-09,current
1145764,2012-02,9,2012-10,current
1145764,2012-02,10,2012-11,current
1145764,2012-02,11,2012-12,current
1145764,2012-02,12,2013-01,current
1145764,2012-02,13,2013-02,current
1145764,2012-02,14,2013-03,current
1145764,2012-02,15,2013-04,current
1145764,2012-02,16,2013-05,current
1145764,2012-02,17,2013-06,current
1145764,2012-02,18,2013-07,current
1145764,2012-02,19,2013-08,current
1145764,2012-02,20,2013-09,current
1145764,2012-02,21,2013-10,current
1145764,2012-02,22,2013-11,paid_off
71070797,2016-02,1,2016-02,current
71070797,2016-02,2,2016-03,current
71070797,2016-02,3,2016-04,current
71070797,2016-02,4,2016-05,current
71070797,2016-02,5,2016-06,current
71070797,2016-02,6,2016-07,current
71070797,2016-02,7,2016-08,current
71070797,2016-02,8,2016-09,current
71070797,2016-02,9,2016-10,current
71070797,2016-02,10,2016-11,current
71070797,2016-02,11,2016-12,current
71070797,2016-02,12,2017-01,paid_off
77564730,2016-04,1,2016-04,current
77564730,2016-04,2,2016-05,current
77564730,2016-04,3,2016-06,current
77564730,2016-04,4,2016-07,current
77564730,2016-04,5,2016-08,current
77564730,2016-04,6,2016-09,current
77564730,2016-04,7,2016-10,current
77564730,2016-04,8,2016-11,current
77564730,2016-04,9,2016-12,current
77564730,2016-04,10,2017-01,current
77564730,2016-04,11,2017-02,current
77564730,2016-04,12,2017-03,current
77564730,2016-04,13,2017-04,current
77564730,2016-04,14,2017-05,current
77564730,2016-04,15,2017-06,current
77564730,2016-04,16,2017-07,current
77564730,2016-04,17,2017-08,current
77564730,2016-04,18,2017-09,current
77564730,2016-04,19,2017-10,current
77564730,2016-04,20,2017-11,current
77564730,2016-04,21,2017-12,current
77564730,2016-04,22,2018-01,current
77564730,2016-04,23,2018-02,current
77564730,2016-04,24,2018-03,current
77564730,2016-04,25,2018-04,current
77564730,2016-04,26,2018-05,current
77564730,2016-04,27,2018-06,current
77564730,2016-04,28,2018-07,current
77564730,2016-04,29,2018-08,current
77564730,2016-04,30,2018-09,current
77564730,2016-04,31,2018-10,paid_off
104318827,2017-04,1,2017-04,current
104318827,2017-04,2,2017-05,current
104318827,2017-04,3,2017-06,current
104318827,2017-04,4,2017-07,current
104318827,2017-04,5,2017-08,current
104318827,2017-04,6,2017-09,current
104318827,2017-04,7,2017-10,current
104318827,2017-04,8,2017-11,current
104318827,2017-04,9,2017-12,current
104318827,2017-04,10,2018-01,current
104318827,2017-04,11,2018-02,current
104318827,2017-04,12,2018-03,current
104318827,2017-04,13,2018-04,current
104318827,2017-04,14,2018-05,current
104318827,2017-04,15,2018-06,current
104318827,2017-04,16,2018-07,current
104318827,2017-04,17,2018-08,current
104318827,2017-04,18,2018-09,current
104318827,2017-04,19,2018-10,current
104318827,2017-04,20,2018-11,current
104318827,2017-04,21,2018-12,current
104318827,2017-04,22,2019-01,current
104318827,2017-04,23,2019-02,current
104318827,2017-04,24,2019-03,current
104318827,2017-04,25,2019-04,current
104318827,2017-04,26,2019-05,current
104318827,2017-04,27,2019-06,current
104318827,2017-04,28,2019-07,current
104318827,2017-04,29,2019-08,current
104318827,2017-04,30,2019-09,current
104318827,2017-04,31,2019-10,current
104318827,2017-04,32,2019-11,current
104318827,2017-04,33,2019-12,current
104318827,2017-04,34,2020-01,current
104318827,2017-04,35,2020-02,current
104318827,2017-04,36,2020-03,current
65140476,2015-11,1,2015-11,current
65140476,2015-11,2,2015-12,current
65140476,2015-11,3,2016-01,current
65140476,2015-11,4,2016-02,current
65140476,2015-11,5,2016-03,current
65140476,2015-11,6,2016-04,current
65140476,2015-11,7,2016-05,current
65140476,2015-11,8,2016-06,current
65140476,2015-11,9,2016-07,current
65140476,2015-11,10,2016-08,current
65140476,2015-11,11,2016-09,current
65140476,2015-11,12,2016-10,current
65140476,2015-11,13,2016-11,current
65140476,2015-11,14,2016-12,current
65140476,2015-11,15,2017-01,current
65140476,2015-11,16,2017-02,current
65140476,2015-11,17,2017-03,current
65140476,2015-11,18,2017-04,current
65140476,2015-11,19,2017-05,current
65140476,2015-11,20,2017-06,current
65140476,2015-11,21,2017-07,current
65140476,2015-11,22,2017-08,current
65140476,2015-11,23,2017-09,current
65140476,2015-11,24,2017-10,current
65140476,2015-11,25,2017-11,current
65140476,2015-11,26,2017-12,current
65140476,2015-11,27,2018-01,current
65140476,2015-11,28,2018-02,current
65140476,2015-11,29,2018-03,current
65140476,2015-11,30,2018-04,current
65140476,2015-11,31,2018-05,current
65140476,2015-11,32,2018-06,current
65140476,2015-11,33,2018-07,current
65140476,2015-11,34,2018-08,current
65140476,2015-11,35,2018-09,current
65140476,2015-11,36,2018-10,current
62176644,2015-10,1,2015-10,current
62176644,2015-10,2,2015-11,current
62176644,2015-10,3,2015-12,current
62176644,2015-10,4,2016-01,current
62176644,2015-10,5,2016-02,current
62176644,2015-10,6,2016-03,current
62176644,2015-10,7,2016-04,current
62176644,2015-10,8,2016-05,current
62176644,2015-10,9,2016-06,current
62176644,2015-10,10,2016-07,current
62176644,2015-10,11,2016-08,current
62176644,2015-10,12,2016-09,current
62176644,2015-10,13,2016-10,current
62176644,2015-10,14,2016-11,current
62176644,2015-10,15,2016-12,current
62176644,2015-10,16,2017-01,current
62176644,2015-10,17,2017-02,current
62176644,2015-10,18,2017-03,current
62176644,2015-10,19,2017-04,current
62176644,2015-10,20,2017-05,current
62176644,2015-10,21,2017-06,current
62176644,2015-10,22,2017-07,current
62176644,2015-10,23,2017-08,current
62176644,2015-10,24,2017-09,current
62176644,2015-10,25,2017-10,current
62176644,2015-10,26,2017-11,current
62176644,2015-10,27,2017-12,current
62176644,2015-10,28,2018-01,current
62176644,2015-10,29,2018-02,current
62176644,2015-10,30,2018-03,current
62176644,2015-10,31,2018-04,current
62176644,2015-10,32,2018-05,current
62176644,2015-10,33,2018-06,current
62176644,2015-10,34,2018-07,current
62176644,2015-10,35,2018-08,current
62176644,2015-10,36,2018-09,current
131107765,2018-04,1,2018-04,current
131107765,2018-04,2,2018-05,current
131107765,2018-04,3,2018-06,current
131107765,2018-04,4,2018-07,current
131107765,2018-04,5,2018-08,current
131107765,2018-04,6,2018-09,current
131107765,2018-04,7,2018-10,current
131107765,2018-04,8,2018-11,current
131107765,2018-04,9,2018-12,current
131107765,2018-04,10,2019-01,current
131107765,2018-04,11,2019-02,current
131107765,2018-04,12,2019-03,current
131107765,2018-04,13,2019-04,current
131107765,2018-04,14,2019-05,current
131107765,2018-04,15,2019-06,current
131107765,2018-04,16,2019-07,current
131107765,2018-04,17,2019-08,paid_off
1518451,2012-09,1,2012-09,current
1518451,2012-09,2,2012-10,current
1518451,2012-09,3,2012-11,current
1518451,2012-09,4,2012-12,current
1518451,2012-09,5,2013-01,current
1518451,2012-09,6,2013-02,current
1518451,2012-09,7,2013-03,current
1518451,2012-09,8,2013-04,current
1518451,2012-09,9,2013-05,current
1518451,2012-09,10,2013-06,current
1518451,2012-09,11,2013-07,current
1518451,2012-09,12,2013-08,current
1518451,2012-09,13,2013-09,current
1518451,2012-09,14,2013-10,current
1518451,2012-09,15,2013-11,current
1518451,2012-09,16,2013-12,current
1518451,2012-09,17,2014-01,current
1518451,2012-09,18,2014-02,current
1518451,2012-09,19,2014-03,current
1518451,2012-09,20,2014-04,current
1518451,2012-09,21,2014-05,current
1518451,2012-09,22,2014-06,current
1518451,2012-09,23,2014-07,current
1518451,2012-09,24,2014-08,current
1518451,2012-09,25,2014-09,current
1518451,2012-09,26,2014-10,current
1518451,2012-09,27,2014-11,current
1518451,2012-09,28,2014-12,dpd30
1518451,2012-09,29,2015-01,dpd60
1518451,2012-09,30,2015-02,dpd60
1518451,2012-09,31,2015-03,dpd60
1518451,2012-09,32,2015-04,dpd90
1518451,2012-09,33,2015-05,dpd90
1518451,2012-09,34,2015-06,default
11416112,2014-02,1,2014-02,current
11416112,2014-02,2,2014-03,current
11416112,2014-02,3,2014-04,current
11416112,2014-02,4,2014-05,current
11416112,2014-02,5,2014-06,current
11416112,2014-02,6,2014-07,current
11416112,2014-02,7,2014-08,current
11416112,2014-02,8,2014-09,current
11416112,2014-02,9,2014-10,current
11416112,2014-02,10,2014-11,current
11416112,2014-02,11,2014-12,current
11416112,2014-02,12,2015-01,current
11416112,2014-02,13,2015-02,current
11416112,2014-02,14,2015-03,current
11416112,2014-02,15,2015-04,current
11416112,2014-02,16,2015-05,current
11416112,2014-02,17,2015-06,current
11416112,2014-02,18,2015-07,current
11416112,2014-02,19,2015-08,current
11416112,2014-02,20,2015-09,current
11416112,2014-02,21,2015-10,current
11416112,2014-02,22,2015-11,current
11416112,2014-02,23,2015-12,current
11416112,2014-02,24,2016-01,current
11416112,2014-02,25,2016-02,current
11416112,2014-02,26,2016-03,current
11416112,2014-02,27,2016-04,current
11416112,2014-02,28,2016-05,current
11416112,2014-02,29,2016-06,current
11416112,2014-02,30,2016-07,current
11416112,2014-02,31,2016-08,current
11416112,2014-02,32,2016-09,current
11416112,2014-02,33,2016-10,current
11416112,2014-02,34,2016-11,current
11416112,2014-02,35,2016-12,current
11416112,2014-02,36,2017-01,current
143563585,2018-11,1,2018-11,current
143563585,2018-11,2,2018-12,current
143563585,2018-11,3,2019-01,current
143563585,2018-11,4,2019-02,current
143563585,2018-11,5,2019-03,current
143563585,2018-11,6,2019-04,current
143563585,2018-11,7,2019-05,current
143563585,2018-11,8,2019-06,current
143563585,2018-11,9,2019-07,current
143563585,2018-11,10,2019-08,current
143563585,2018-11,11,2019-09,current
143563585,2018-11,12,2019-10,current
143563585,2018-11,13,2019-11,current
143563585,2018-11,14,2019-12,current
143563585,2018-11,15,2020-01,current
143563585,2018-11,16,2020-02,current
143563585,2018-11,17,2020-03,current
143563585,2018-11,18,2020-04,current
143563585,2018-11,19,2020-05,current
143563585,2018-11,20,2020-06,current
143563585,2018-11,21,2020-07,current
143563585,2018-11,22,2020-08,current
143563585,2018-11,23,2020-09,current
143563585,2018-11,24,2020-10,current
143563585,2018-11,25,2020-11,current
143563585,2018-11,26,2020-12,current
143563585,2018-11,27,2021-01,current
143563585,2018-11,28,2021-02,current
143563585,2018-11,29,2021-03,current
143563585,2018-11,30,2021-04,current
143563585,2018-11,31,2021-05,current
143563585,2018-11,32,2021-06,current
143563585,2018-11,33,2021-07,current
143563585,2018-11,34,2021-08,current
143563585,2018-11,35,2021-09,current
143563585,2018-11,36,2021-10,current
71542589,2016-02,1,2016-02,current
71542589,2016-02,2,2016-03,current
71542589,2016-02,3,2016-04,current
71542589,2016-02,4,2016-05,current
71542589,2016-02,5,2016-06,current
71542589,2016-02,6,2016-07,current
71542589,2016-02,7,2016-08,current
71542589,2016-02,8,2016-09,current
71542589,2016-02,9,2016-10,current
71542589,2016-02,10,2016-11,current
71542589,2016-02,11,2016-12,current
71542589,2016-02,12,2017-01,current
71542589,2016-02,13,2017-02,current
71542589,2016-02,14,2017-03,current
71542589,2016-02,15,2017-04,current
71542589,2016-02,16,2017-05,current
71542589,2016-02,17,2017-06,current
71542589,2016-02,18,2017-07,paid_off
55960359,2015-08,1,2015-08,current
55960359,2015-08,2,2015-09,current
55960359,2015-08,3,2015-10,current
55960359,2015-08,4,2015-11,current
55960359,2015-08,5,2015-12,current
55960359,2015-08,6,2016-01,current
55960359,2015-08,7,2016-02,current
55960359,2015-08,8,2016-03,current
55960359,2015-08,9,2016-04,current
55960359,2015-08,10,2016-05,current
55960359,2015-08,11,2016-06,current
55960359,2015-08,12,2016-07,current
55960359,2015-08,13,2016-08,current
55960359,2015-08,14,2016-09,current
55960359,2015-08,15,2016-10,current
55960359,2015-08,16,2016-11,paid_off
31366692,2014-10,1,2014-10,current
31366692,2014-10,2,2014-11,current
31366692,2014-10,3,2014-12,current
31366692,2014-10,4,2015-01,current
31366692,2014-10,5,2015-02,current
31366692,2014-10,6,2015-03,current
31366692,2014-10,7,2015-04,current
31366692,2014-10,8,2015-05,current
31366692,2014-10,9,2015-06,current
31366692,2014-10,10,2015-07,current
31366692,2014-10,11,2015-08,current
31366692,2014-10,12,2015-09,current
31366692,2014-10,13,2015-10,current
31366692,2014-10,14,2015-11,current
31366692,2014-10,15,2015-12,current
31366692,2014-10,16,2016-01,current
31366692,2014-10,17,2016-02,current
31366692,2014-10,18,2016-03,current
31366692,2014-10,19,2016-04,current
31366692,2014-10,20,2016-05,current
31366692,2014-10,21,2016-06,current
31366692,2014-10,22,2016-07,current
31366692,2014-10,23,2016-08,current
31366692,2014-10,24,2016-09,current
31366692,2014-10,25,2016-10,current
31366692,2014-10,26,2016-11,current
31366692,2014-10,27,2016-12,current
31366692,2014-10,28,2017-01,current
31366692,2014-10,29,2017-02,current
31366692,2014-10,30,2017-03,current
31366692,2014-10,31,2017-04,current
31366692,2014-10,32,2017-05,current
31366692,2014-10,33,2017-06,current
31366692,2014-10,34,2017-07,current
31366692,2014-10,35,2017-08,current
31366692,2014-10,36,2017-09,current
121718129,2017-10,1,2017-10,current
121718129,2017-10,2,2017-11,current
121718129,2017-10,3,2017-12,current
121718129,2017-10,4,2018-01,current
121718129,2017-10,5,2018-02,current
121718129,2017-10,6,2018-03,current
121718129,2017-10,7,2018-04,current
121718129,2017-10,8,2018-05,current
121718129,2017-10,9,2018-06,current
121718129,2017-10,10,2018-07,current
121718129,2017-10,11,2018-08,current
121718129,2017-10,12,2018-09,current
121718129,2017-10,13,2018-10,current
121718129,2017-10,14,2018-11,current
121718129,2017-10,15,2018-12,current
121718129,2017-10,16,2019-01,current
121718129,2017-10,17,2019-02,current
121718129,2017-10,18,2019-03,current
121718129,2017-10,19,2019-04,paid_off
119280211,2017-09,1,2017-09,current
119280211,2017-09,2,2017-10,current
119280211,2017-09,3,2017-11,current
119280211,2017-09,4,2017-12,current
119280211,2017-09,5,2018-01,paid_off
132054735,2018-04,1,2018-04,current
132054735,2018-04,2,2018-05,current
132054735,2018-04,3,2018-06,current
132054735,2018-04,4,2018-07,current
132054735,2018-04,5,2018-08,current
132054735,2018-04,6,2018-09,current
132054735,2018-04,7,2018-10,current
132054735,2018-04,8,2018-11,current
132054735,2018-04,9,2018-12,current
132054735,2018-04,10,2019-01,current
132054735,2018-04,11,2019-02,current
132054735,2018-04,12,2019-03,current
132054735,2018-04,13,2019-04,current
132054735,2018-04,14,2019-05,current
132054735,2018-04,15,2019-06,current
132054735,2018-04,16,2019-07,current
132054735,2018-04,17,2019-08,current
132054735,2018-04,18,2019-09,current
132054735,2018-04,19,2019-10,current
132054735,2018-04,20,2019-11,current
132054735,2018-04,21,2019-12,current
132054735,2018-04,22,2020-01,current
132054735,2018-04,23,2020-02,current
132054735,2018-04,24,2020-03,current
132054735,2018-04,25,2020-04,current
132054735,2018-04,26,2020-05,current
132054735,2018-04,27,2020-06,current
132054735,2018-04,28,2020-07,current
132054735,2018-04,29,2020-08,current
132054735,2018-04,30,2020-09,current
132054735,2018-04,31,2020-10,current
132054735,2018-04,32,2020-11,current
132054735,2018-04,33,2020-12,current
132054735,2018-04,34,2021-01,current
132054735,2018-04,35,2021-02,current
132054735,2018-04,36,2021-03,current
84436886,2016-07,1,2016-07,current
84436886,2016-07,2,2016-08,current
84436886,2016-07,3,2016-09,current
84436886,2016-07,4,2016-10,current
84436886,2016-07,5,2016-11,current
84436886,2016-07,6,2016-12,current
84436886,2016-07,7,2017-01,current
84436886,2016-07,8,2017-02,current
84436886,2016-07,9,2017-03,current
84436886,2016-07,10,2017-04,current
84436886,2016-07,11,2017-05,current
84436886,2016-07,12,2017-06,current
84436886,2016-07,13,2017-07,current
84436886,2016-07,14,2017-08,current
84436886,2016-07,15,2017-09,current
84436886,2016-07,16,2017-10,dpd30
84436886,2016-07,17,2017-11,current
84436886,2016-07,18,2017-12,current
84436886,2016-07,19,2018-01,current
84436886,2016-07,20,2018-02,current
84436886,2016-07,21,2018-03,current
84436886,2016-07,22,2018-04,current
84436886,2016-07,23,2018-05,current
84436886,2016-07,24,2018-06,current
84436886,2016-07,25,2018-07,current
84436886,2016-07,26,2018-08,current
84436886,2016-07,27,2018-09,current
84436886,2016-07,28,2018-10,current
84436886,2016-07,29,2018-11,current
84436886,2016-07,30,2018-12,current
84436886,2016-07,31,2019-01,current
84436886,2016-07,32,2019-02,current
84436886,2016-07,33,2019-03,current
84436886,2016-07,34,2019-04,current
84436886,2016-07,35,2019-05,current
84436886,2016-07,36,2019-06,current
55563935,2015-07,1,2015-07,current
55563935,2015-07,2,2015-08,current
55563935,2015-07,3,2015-09,current
55563935,2015-07,4,2015-10,current
55563935,2015-07,5,2015-11,current
55563935,2015-07,6,2015-12,current
55563935,2015-07,7,2016-01,current
55563935,2015-07,8,2016-02,current
55563935,2015-07,9,2016-03,current
55563935,2015-07,10,2016-04,current
55563935,2015-07,11,2016-05,current
55563935,2015-07,12,2016-06,current
55563935,2015-07,13,2016-07,current
55563935,2015-07,14,2016-08,current
55563935,2015-07,15,2016-09,current
55563935,2015-07,16,2016-10,paid_off
97595048,2017-02,1,2017-02,current
97595048,2017-02,2,2017-03,current
97595048,2017-02,3,2017-04,current
97595048,2017-02,4,2017-05,current
97595048,2017-02,5,2017-06,current
97595048,2017-02,6,2017-07,current
97595048,2017-02,7,2017-08,current
97595048,2017-02,8,2017-09,current
97595048,2017-02,9,2017-10,current
97595048,2017-02,10,2017-11,current
97595048,2017-02,11,2017-12,current
97595048,2017-02,12,2018-01,current
97595048,2017-02,13,2018-02,current
97595048,2017-02,14,2018-03,current
97595048,2017-02,15,2018-04,current
97595048,2017-02,16,2018-05,current
97595048,2017-02,17,2018-06,current
97595048,2017-02,18,2018-07,current
97595048,2017-02,19,2018-08,current
97595048,2017-02,20,2018-09,current
97595048,2017-02,21,2018-10,current
97595048,2017-02,22,2018-11,current
97595048,2017-02,23,2018-12,current
97595048,2017-02,24,2019-01,current
97595048,2017-02,25,2019-02,current
97595048,2017-02,26,2019-03,current
97595048,2017-02,27,2019-04,current
97595048,2017-02,28,2019-05,current
97595048,2017-02,29,2019-06,current
97595048,2017-02,30,2019-07,current
97595048,2017-02,31,2019-08,current
97595048,2017-02,32,2019-09,current
97595048,2017-02,33,2019-10,current
97595048,2017-02,34,2019-11,current
97595048,2017-02,35,2019-12,current
97595048,2017-02,36,2020-01,current
77478699,2016-04,1,2016-04,current
77478699,2016-04,2,2016-05,current
77478699,2016-04,3,2016-06,current
77478699,2016-04,4,2016-07,current
77478699,2016-04,5,2016-08,current
77478699,2016-04,6,2016-09,current
77478699,2016-04,7,2016-10,current
77478699,2016-04,8,2016-11,current
77478699,2016-04,9,2016-12,current
77478699,2016-04,10,2017-01,current
77478699,2016-04,11,2017-02,current
77478699,2016-04,12,2017-03,current
77478699,2016-04,13,2017-04,current
77478699,2016-04,14,2017-05,current
77478699,2016-04,15,2017-06,current
77478699,2016-04,16,2017-07,current
77478699,2016-04,17,2017-08,current
77478699,2016-04,18,2017-09,current
77478699,2016-04,19,2017-10,current
77478699,2016-04,20,2017-11,current
77478699,2016-04,21,2017-12,current
77478699,2016-04,22,2018-01,dpd30
77478699,2016-04,23,2018-02,dpd60
77478699,2016-04,24,2018-03,dpd60
77478699,2016-04,25,2018-04,dpd90
77478699,2016-04,26,2018-05,dpd60
77478699,2016-04,27,2018-06,dpd30
77478699,2016-04,28,2018-07,current
77478699,2016-04,29,2018-08,current
77478699,2016-04,30,2018-09,current
77478699,2016-04,31,2018-10,current
77478699,2016-04,32,2018-11,current
77478699,2016-04,33,2018-12,current
77478699,2016-04,34,2019-01,current
77478699,2016-04,35,2019-02,current
77478699,2016-04,36,2019-03,current
131508050,2018-04,1,2018-04,current
131508050,2018-04,2,2018-05,current
131508050,2018-04,3,2018-06,current
131508050,2018-04,4,2018-07,current
131508050,2018-04,5,2018-08,current
131508050,2018-04,6,2018-09,current
131508050,2018-04,7,2018-10,current
131508050,2018-04,8,2018-11,current
131508050,2018-04,9,2018-12,current
131508050,2018-04,10,2019-01,current
131508050,2018-04,11,2019-02,paid_off
36048839,2014-11,1,2014-11,current
36048839,2014-11,2,2014-12,current
36048839,2014-11,3,2015-01,current
36048839,2014-11,4,2015-02,current
36048839,2014-11,5,2015-03,current
