loan_id,defaulted_12m,grade,purpose,home_ownership,emp_length,annual_inc,dti,fico_range_low
1254093,0,A,moving,OWN,1 year,105000.0,7.28,740.0
1257211,0,A,home_improvement,MORTGAGE,7 years,45000.0,5.68,755.0
1257303,0,F,small_business,RENT,3 years,112000.0,16.06,660.0
1258839,0,A,debt_consolidation,RENT,2 years,51000.0,22.68,720.0
1267221,0,E,debt_consolidation,MORTGAGE,10+ years,106000.0,19.15,670.0
1291078,0,G,credit_card,MORTGAGE,6 years,63324.0,16.16,665.0
1302934,0,A,moving,OWN,7 years,124000.0,6.7,715.0
1341951,0,F,debt_consolidation,RENT,10+ years,95000.0,27.22,680.0
1345783,0,G,debt_consolidation,MORTGAGE,4 years,89500.0,28.67,695.0
1349788,0,F,debt_consolidation,MORTGAGE,< 1 year,55000.0,22.54,670.0
1358908,0,E,debt_consolidation,RENT,< 1 year,60000.0,20.28,675.0
1359088,0,G,debt_consolidation,MORTGAGE,,65000.0,18.56,665.0
1367016,0,G,credit_card,RENT,5 years,65000.0,14.1,665.0
1376475,0,G,debt_consolidation,MORTGAGE,10+ years,100000.0,21.37,665.0
1383574,0,B,credit_card,MORTGAGE,10+ years,110000.0,8.67,720.0
1390080,0,E,credit_card,RENT,< 1 year,120000.0,12.22,660.0
1392467,0,E,other,RENT,4 years,60000.0,8.76,660.0
1393562,1,D,debt_consolidation,RENT,6 years,30000.0,12.68,660.0
1396556,0,B,debt_consolidation,MORTGAGE,10+ years,140000.0,7.77,675.0
1399622,0,D,debt_consolidation,MORTGAGE,10+ years,157000.0,23.25,680.0
1400329,0,E,debt_consolidation,MORTGAGE,3 years,104000.0,21.54,720.0
1417340,0,B,debt_consolidation,RENT,9 years,75000.0,18.14,705.0
1422561,0,G,debt_consolidation,RENT,5 years,68000.0,19.76,670.0
1431276,0,F,debt_consolidation,OWN,10+ years,72000.0,23.35,665.0
1459059,0,A,major_purchase,MORTGAGE,3 years,102000.0,7.35,705.0
1465624,0,G,debt_consolidation,RENT,10+ years,89131.0,16.27,660.0
1477060,0,C,debt_consolidation,RENT,10+ years,40000.0,22.44,665.0
1479604,0,C,debt_consolidation,MORTGAGE,5 years,100000.0,13.08,700.0
1485197,0,F,debt_consolidation,MORTGAGE,10+ years,75000.0,8.91,660.0
1496047,0,A,debt_consolidation,RENT,4 years,55000.0,10.47,730.0
1508777,0,D,credit_card,RENT,3 years,67000.0,15.92,660.0
1518451,0,A,credit_card,MORTGAGE,2 years,84000.0,10.31,735.0
1523175,0,B,credit_card,RENT,5 years,39500.0,31.72,715.0
1523414,0,E,debt_consolidation,MORTGAGE,8 years,40056.0,15.22,670.0
1524629,1,D,wedding,MORTGAGE,1 year,180000.0,11.38,720.0
1536519,0,E,debt_consolidation,RENT,7 years,70000.0,24.58,675.0
1536933,0,D,debt_consolidation,MORTGAGE,1 year,101000.0,10.61,720.0
1543181,0,B,debt_consolidation,MORTGAGE,5 years,67000.0,28.24,710.0
1549805,0,F,debt_consolidation,MORTGAGE,4 years,65000.0,7.42,665.0
1552538,0,B,major_purchase,RENT,3 years,30000.0,4.2,690.0
1576690,0,B,debt_consolidation,RENT,10+ years,96000.0,15.31,680.0
1577542,0,A,debt_consolidation,RENT,3 years,95000.0,7.79,765.0
1582802,0,F,debt_consolidation,RENT,10+ years,86000.0,22.68,690.0
1595780,0,E,home_improvement,MORTGAGE,1 year,51000.0,11.43,690.0
1596426,0,F,debt_consolidation,MORTGAGE,< 1 year,160000.0,21.37,680.0
1602924,0,D,debt_consolidation,RENT,8 years,42200.0,24.03,665.0
1613599,0,G,debt_consolidation,MORTGAGE,9 years,65000.0,16.58,670.0
1614754,0,D,debt_consolidation,MORTGAGE,10+ years,66000.0,15.89,660.0
1622588,0,B,debt_consolidation,RENT,10+ years,78000.0,18.42,690.0
1675344,0,C,credit_card,MORTGAGE,6 years,48000.0,26.3,690.0
1678824,0,F,credit_card,RENT,2 years,68500.0,27.31,680.0
1681116,0,E,debt_consolidation,MORTGAGE,10+ years,68000.0,24.45,690.0
1690270,0,F,debt_consolidation,MORTGAGE,10+ years,75000.0,20.3,665.0
1690809,0,B,credit_card,RENT,10+ years,50000.0,11.8,690.0
1691812,0,G,credit_card,RENT,6 years,61000.0,18.18,695.0
1864837,0,C,home_improvement,MORTGAGE,9 years,47050.54,27.99,665.0
1954802,0,G,debt_consolidation,MORTGAGE,1 year,85000.0,17.92,685.0
2014734,0,A,credit_card,OWN,5 years,31000.0,9.99,710.0
2083414,0,B,debt_consolidation,MORTGAGE,3 years,46500.0,26.43,740.0
2083567,0,B,debt_consolidation,MORTGAGE,7 years,50000.0,27.1,730.0
2224788,0,G,debt_consolidation,MORTGAGE,1 year,78000.0,12.86,670.0
2228099,0,E,debt_consolidation,RENT,10+ years,85000.0,5.28,675.0
2296962,0,E,debt_consolidation,RENT,2 years,44000.0,23.97,675.0
2300136,0,B,home_improvement,MORTGAGE,10+ years,58000.0,21.29,685.0
2380259,1,F,other,RENT,3 years,28000.0,23.6,660.0
2477562,0,C,debt_consolidation,MORTGAGE,2 years,93500.0,21.96,690.0
2486197,0,A,debt_consolidation,MORTGAGE,10+ years,120000.0,11.47,720.0
2644934,0,A,credit_card,MORTGAGE,2 years,100000.0,18.6,690.0
2835707,0,C,home_improvement,MORTGAGE,1 year,84000.0,9.14,665.0
2838671,0,F,major_purchase,RENT,7 years,45450.0,26.22,680.0
2896422,0,E,debt_consolidation,MORTGAGE,10+ years,90000.0,24.75,670.0
2897040,0,B,debt_consolidation,RENT,10+ years,93000.0,13.97,670.0
2994578,0,G,debt_consolidation,RENT,10+ years,116562.0,14.22,680.0
3054615,0,D,debt_consolidation,MORTGAGE,9 years,120760.0,10.36,680.0
3056752,0,A,credit_card,MORTGAGE,3 years,109000.0,30.74,715.0
3096651,0,C,debt_consolidation,MORTGAGE,10+ years,80000.0,15.09,660.0
3096849,0,C,debt_consolidation,MORTGAGE,6 years,50000.0,11.66,665.0
3097091,0,D,debt_consolidation,MORTGAGE,9 years,80000.0,24.48,670.0
3144930,0,F,debt_consolidation,RENT,< 1 year,48000.0,21.53,670.0
3152963,0,D,other,RENT,10+ years,43000.0,15.35,695.0
3194667,0,B,debt_consolidation,MORTGAGE,10+ years,95000.0,12.34,700.0
3195534,0,C,debt_consolidation,RENT,10+ years,41000.0,16.62,685.0
3286615,0,D,debt_consolidation,RENT,4 years,19900.0,13.87,675.0
3296375,0,B,car,RENT,1 year,45000.0,6.91,715.0
3297740,0,G,debt_consolidation,MORTGAGE,4 years,60000.0,12.52,665.0
3347885,0,B,credit_card,RENT,7 years,45000.0,20.32,700.0
3352606,1,F,debt_consolidation,MORTGAGE,6 years,55000.0,9.56,665.0
3356822,0,A,debt_consolidation,MORTGAGE,< 1 year,112000.0,21.35,745.0
3370245,0,B,debt_consolidation,RENT,3 years,90000.0,13.09,690.0
3379100,0,B,credit_card,RENT,2 years,65000.0,6.28,660.0
3381704,0,E,debt_consolidation,OWN,3 years,14400.0,22.75,710.0
3494599,0,E,debt_consolidation,RENT,8 years,50000.0,21.67,680.0
3526968,0,C,debt_consolidation,OWN,< 1 year,30000.0,28.81,680.0
3527974,0,D,home_improvement,MORTGAGE,3 years,45000.0,4.48,670.0
3638038,0,B,debt_consolidation,RENT,2 years,41000.0,31.11,690.0
3641139,0,A,debt_consolidation,MORTGAGE,< 1 year,75000.0,19.72,765.0
3642670,0,F,small_business,MORTGAGE,10+ years,70000.0,7.77,710.0
3665055,0,E,debt_consolidation,RENT,10+ years,75000.0,15.54,675.0
3665476,0,C,debt_consolidation,RENT,10+ years,38480.0,20.43,725.0
3666108,0,B,debt_consolidation,MORTGAGE,9 years,147000.0,13.68,700.0
3675370,0,E,small_business,OWN,10+ years,82000.0,1.13,695.0
3698365,0,G,other,RENT,5 years,33280.0,14.42,665.0
3703410,0,C,debt_consolidation,RENT,10+ years,27000.0,7.42,665.0
3724789,0,G,debt_consolidation,MORTGAGE,6 years,102000.0,22.56,660.0
3846886,0,A,debt_consolidation,MORTGAGE,10+ years,120000.0,12.19,710.0
3848844,1,G,other,RENT,,54442.88,12.72,665.0
3914664,0,A,debt_consolidation,RENT,10+ years,63000.0,23.75,745.0
3921604,0,C,debt_consolidation,MORTGAGE,6 years,101500.0,4.73,660.0
4094872,0,F,home_improvement,MORTGAGE,10+ years,95000.0,17.1,660.0
4186761,0,E,credit_card,RENT,6 years,35000.0,27.46,680.0
4215086,0,E,home_improvement,MORTGAGE,8 years,101000.0,18.26,680.0
4285177,0,F,debt_consolidation,MORTGAGE,10+ years,120000.0,19.91,685.0
4289826,0,E,medical,OWN,10+ years,42000.0,15.69,670.0
4295681,0,D,debt_consolidation,RENT,10+ years,62000.0,17.25,665.0
4296951,0,F,wedding,RENT,2 years,16500.0,3.64,745.0
4305951,1,C,debt_consolidation,MORTGAGE,2 years,79000.0,19.84,670.0
4309125,0,F,other,RENT,10+ years,100000.0,5.11,710.0
4334576,0,D,credit_card,RENT,,77000.0,6.33,675.0
4375081,0,F,credit_card,RENT,< 1 year,105000.0,6.81,680.0
4425347,0,C,debt_consolidation,MORTGAGE,2 years,59000.0,13.04,675.0
4435401,0,E,debt_consolidation,MORTGAGE,7 years,52000.0,18.23,695.0
4554864,0,F,debt_consolidation,RENT,5 years,66000.0,15.98,690.0
4566999,0,F,other,RENT,10+ years,46000.0,13.63,670.0
4568460,0,A,credit_card,MORTGAGE,10+ years,68205.0,8.15,825.0
4767528,0,G,debt_consolidation,MORTGAGE,< 1 year,153000.0,21.53,670.0
4788255,0,F,debt_consolidation,MORTGAGE,10+ years,65000.0,23.76,670.0
4806840,0,G,debt_consolidation,RENT,10+ years,93000.0,6.67,670.0
4895227,0,G,home_improvement,MORTGAGE,10+ years,72000.0,14.52,685.0
4915630,0,C,credit_card,RENT,2 years,49000.0,18.98,695.0
5027623,1,F,debt_consolidation,MORTGAGE,7 years,79000.0,22.51,660.0
5031747,0,B,debt_consolidation,RENT,9 years,27000.0,15.64,685.0
5036035,1,F,debt_consolidation,MORTGAGE,10+ years,125000.0,28.73,710.0
5037288,0,D,medical,RENT,3 years,47600.0,19.16,695.0
5042962,0,C,debt_consolidation,MORTGAGE,10+ years,98000.0,25.87,735.0
5115188,0,G,debt_consolidation,RENT,2 years,60000.0,9.18,665.0
5115494,0,D,debt_consolidation,MORTGAGE,9 years,55000.0,11.74,675.0
5146699,0,E,debt_consolidation,MORTGAGE,5 years,50000.0,30.13,690.0
5155575,0,F,debt_consolidation,MORTGAGE,10+ years,98000.0,7.54,660.0
5166080,0,C,debt_consolidation,MORTGAGE,8 years,32000.0,19.8,660.0
5244886,0,G,debt_consolidation,MORTGAGE,< 1 year,175000.0,20.45,675.0
5355634,0,A,home_improvement,MORTGAGE,5 years,170000.0,15.06,735.0
5355935,0,F,credit_card,RENT,10+ years,62000.0,11.54,680.0
5364651,0,B,credit_card,RENT,9 years,72000.0,9.15,735.0
5375806,0,F,debt_consolidation,MORTGAGE,10+ years,65000.0,25.64,670.0
5375907,0,D,credit_card,OWN,7 years,44500.0,8.49,670.0
5425925,0,B,credit_card,MORTGAGE,3 years,33000.0,30.22,690.0
5454839,0,E,debt_consolidation,RENT,10+ years,48000.0,16.85,670.0
5616929,0,F,debt_consolidation,MORTGAGE,2 years,45000.0,26.85,690.0
5617638,0,E,debt_consolidation,RENT,3 years,147000.0,16.86,730.0
5619888,0,F,debt_consolidation,MORTGAGE,7 years,49232.0,31.88,700.0
5629451,0,B,credit_card,MORTGAGE,7 years,104000.0,23.65,695.0
5685380,0,F,small_business,MORTGAGE,10+ years,91805.0,19.25,660.0
5716676,0,E,debt_consolidation,OWN,3 years,76000.0,22.78,685.0
5762939,0,F,debt_consolidation,MORTGAGE,7 years,60000.0,31.06,660.0
5768223,0,F,home_improvement,MORTGAGE,1 year,126000.0,32.07,675.0
5777184,0,G,other,RENT,< 1 year,30000.0,4.84,695.0
5787702,0,E,debt_consolidation,MORTGAGE,10+ years,89000.0,22.06,690.0
5797435,0,E,credit_card,MORTGAGE,10+ years,85000.0,14.26,660.0
5800614,1,F,debt_consolidation,MORTGAGE,6 years,50500.0,24.57,660.0
5845030,0,B,debt_consolidation,MORTGAGE,2 years,65000.0,27.16,710.0
5845153,0,C,debt_consolidation,RENT,3 years,52000.0,21.5,705.0
5874649,0,B,credit_card,MORTGAGE,3 years,72000.0,13.83,695.0
5885255,0,F,other,MORTGAGE,10+ years,50000.0,28.67,670.0
5895321,0,F,debt_consolidation,MORTGAGE,10+ years,58500.0,12.98,660.0
5957638,0,E,debt_consolidation,MORTGAGE,10+ years,45000.0,3.36,680.0
5976653,0,G,small_business,MORTGAGE,10+ years,70000.0,23.93,675.0
6104696,0,D,credit_card,RENT,6 years,39000.0,23.82,670.0
6155487,0,B,debt_consolidation,MORTGAGE,10+ years,50000.0,9.5,710.0
6186680,0,F,debt_consolidation,MORTGAGE,2 years,59000.0,28.28,690.0
6188865,0,B,debt_consolidation,RENT,10+ years,61000.0,23.43,700.0
6204922,0,B,debt_consolidation,OWN,10+ years,60000.0,24.49,700.0
6224754,0,E,credit_card,MORTGAGE,1 year,60000.0,18.0,690.0
6235563,0,E,debt_consolidation,RENT,< 1 year,62000.0,18.84,680.0
6317196,0,F,debt_consolidation,MORTGAGE,8 years,100000.0,12.26,675.0
6325839,0,D,debt_consolidation,MORTGAGE,1 year,93000.0,20.98,670.0
6326936,0,F,debt_consolidation,RENT,10+ years,76000.0,13.06,700.0
6329306,0,E,debt_consolidation,RENT,10+ years,45000.0,21.2,670.0
6344920,0,D,other,OWN,10+ years,47000.0,5.36,695.0
6414817,0,F,moving,RENT,< 1 year,17000.0,19.2,670.0
6531692,0,A,credit_card,RENT,2 years,102500.0,7.31,740.0
6539460,0,F,debt_consolidation,RENT,10+ years,70000.0,19.94,660.0
6548265,0,G,debt_consolidation,MORTGAGE,3 years,73000.0,26.09,665.0
6564601,0,G,debt_consolidation,MORTGAGE,10+ years,90000.0,24.92,675.0
6566157,0,F,debt_consolidation,MORTGAGE,< 1 year,85000.0,16.94,670.0
6578402,0,G,small_business,MORTGAGE,8 years,130000.0,14.35,680.0
6596396,0,C,debt_consolidation,MORTGAGE,2 years,43219.0,21.16,680.0
6636043,0,D,major_purchase,MORTGAGE,3 years,93600.0,11.92,660.0
6694833,0,G,other,RENT,< 1 year,80000.0,26.64,685.0
6697268,0,G,wedding,RENT,3 years,93000.0,4.4,725.0
6707052,0,E,debt_consolidation,OWN,2 years,98000.0,18.07,715.0
6719379,0,F,debt_consolidation,RENT,2 years,48000.0,19.7,660.0
6787161,0,F,credit_card,RENT,3 years,100000.0,21.78,665.0
6788693,0,F,debt_consolidation,MORTGAGE,10+ years,72000.0,15.07,680.0
6805243,0,C,debt_consolidation,MORTGAGE,10+ years,62000.0,28.9,685.0
6807055,0,F,debt_consolidation,MORTGAGE,10+ years,46000.0,19.77,685.0
6809431,0,C,debt_consolidation,RENT,10+ years,45000.0,5.76,665.0
6825185,0,D,debt_consolidation,RENT,10+ years,78000.0,26.05,680.0
6825304,0,C,vacation,RENT,< 1 year,26400.0,1.14,720.0
6839137,0,B,debt_consolidation,MORTGAGE,4 years,34000.0,8.82,690.0
6839504,0,F,house,RENT,10+ years,113900.0,12.19,665.0
6887259,0,D,major_purchase,RENT,< 1 year,43000.0,18.56,695.0
6894803,0,E,debt_consolidation,MORTGAGE,10+ years,70000.0,12.89,700.0
6897501,1,G,credit_card,OWN,6 years,93000.0,29.33,700.0
6905266,0,G,debt_consolidation,RENT,< 1 year,130000.0,27.58,685.0
6909620,0,F,debt_consolidation,MORTGAGE,2 years,102257.0,12.38,670.0
6915622,0,F,other,OWN,9 years,97000.0,3.75,700.0
6918061,0,B,debt_consolidation,RENT,6 years,38000.0,14.77,720.0
7014623,0,D,debt_consolidation,MORTGAGE,10+ years,78000.0,19.4,660.0
7049770,0,G,debt_consolidation,RENT,< 1 year,128000.0,20.12,700.0
7050399,0,F,credit_card,OWN,10+ years,80000.0,25.83,715.0
7051433,0,F,other,RENT,3 years,73730.0,11.93,685.0
7062626,0,F,debt_consolidation,MORTGAGE,10+ years,92000.0,12.35,685.0
7082045,0,E,debt_consolidation,RENT,10+ years,71060.0,14.2,710.0
7103056,0,F,credit_card,OWN,10+ years,52000.0,22.73,660.0
7255108,0,G,debt_consolidation,RENT,< 1 year,147500.0,13.92,690.0
7266039,0,D,debt_consolidation,MORTGAGE,10+ years,70000.0,16.46,680.0
7338729,0,C,debt_consolidation,MORTGAGE,10+ years,107000.0,15.15,705.0
7339211,0,C,debt_consolidation,RENT,10+ years,48000.0,16.5,765.0
7345561,0,B,debt_consolidation,RENT,1 year,52000.0,16.8,695.0
7354580,0,G,debt_consolidation,MORTGAGE,2 years,150000.0,16.52,660.0
7379292,0,E,medical,RENT,10+ years,32000.0,18.26,670.0
7387872,0,A,debt_consolidation,RENT,,32160.0,13.73,750.0
7438770,0,B,debt_consolidation,MORTGAGE,10+ years,115000.0,7.21,730.0
7495648,0,G,debt_consolidation,MORTGAGE,10+ years,73572.0,16.1,690.0
7564913,0,F,credit_card,RENT,10+ years,65000.0,33.77,665.0
7617087,0,G,debt_consolidation,MORTGAGE,10+ years,120000.0,27.74,665.0
7617297,0,G,debt_consolidation,MORTGAGE,8 years,50000.0,23.95,665.0
7617629,0,D,credit_card,MORTGAGE,6 years,63800.0,29.36,675.0
7619641,1,F,debt_consolidation,MORTGAGE,10+ years,380000.0,13.2,705.0
7625023,0,D,debt_consolidation,MORTGAGE,10+ years,70000.0,4.58,680.0
7628630,0,C,home_improvement,MORTGAGE,10+ years,75000.0,8.52,670.0
7674922,0,E,debt_consolidation,RENT,9 years,67950.84,22.78,680.0
7677159,0,D,debt_consolidation,MORTGAGE,10+ years,43000.0,15.82,695.0
7679046,0,G,debt_consolidation,MORTGAGE,10+ years,70200.0,18.55,665.0
7685695,0,D,credit_card,OWN,,43500.0,30.65,665.0
7686238,0,C,credit_card,MORTGAGE,8 years,36000.0,17.77,730.0
7716151,1,F,debt_consolidation,RENT,8 years,65000.0,19.18,665.0
7726196,0,D,debt_consolidation,RENT,9 years,45600.0,20.58,670.0
7727041,0,F,debt_consolidation,RENT,10+ years,72000.0,19.88,665.0
7729007,0,G,debt_consolidation,RENT,3 years,120000.0,14.55,665.0
7730272,0,G,medical,MORTGAGE,3 years,100000.0,17.02,685.0
7731001,0,B,debt_consolidation,OWN,10+ years,27000.0,25.33,715.0
7844733,0,F,debt_consolidation,RENT,10+ years,75000.0,17.39,660.0
7925892,0,B,credit_card,RENT,2 years,35000.0,31.58,690.0
7925924,0,C,debt_consolidation,RENT,1 year,52000.0,18.35,660.0
7955358,0,C,debt_consolidation,RENT,4 years,35000.0,19.75,660.0
7955809,0,F,debt_consolidation,MORTGAGE,10+ years,37000.0,17.29,680.0
8084564,0,G,other,MORTGAGE,10+ years,47000.0,31.48,665.0
8094794,0,D,credit_card,MORTGAGE,10+ years,102000.0,12.12,700.0
8135371,0,G,credit_card,MORTGAGE,1 year,176000.0,16.47,705.0
8204571,0,D,other,RENT,3 years,68000.0,5.7,695.0
8274833,0,B,debt_consolidation,RENT,2 years,40000.0,8.46,680.0
8295222,0,C,debt_consolidation,MORTGAGE,< 1 year,55000.0,23.02,680.0
8305414,0,A,debt_consolidation,MORTGAGE,10+ years,60000.0,21.9,745.0
8544703,0,E,credit_card,MORTGAGE,,45400.0,23.05,670.0
8567524,0,B,debt_consolidation,RENT,1 year,60000.0,20.12,710.0
8568131,1,E,major_purchase,RENT,5 years,44223.0,14.19,695.0
8607974,0,D,debt_consolidation,MORTGAGE,1 year,48000.0,8.58,665.0
8637515,0,A,debt_consolidation,MORTGAGE,1 year,90000.0,8.35,695.0
8644687,0,G,debt_consolidation,RENT,< 1 year,57888.0,9.04,670.0
8650201,1,F,other,RENT,7 years,90000.0,11.08,700.0
